"","Especie","top.freq","bottom.freq","duration","meanfreq","sd","freq.median","freq.Q25","freq.Q75","freq.IQR","time.median","time.Q25","time.Q75","time.IQR","skew","kurt","sp.ent","time.ent","entropy","sfm","meandom","mindom","maxdom","dfrange","modindx","startdom","enddom","dfslope","meanpeakf"
"Zenaida_85","Zenaida",0.999,0.3211,0.297203223000004,0.607625614274213,0.149582833743288,0.590910945273632,0.520085572139304,0.681972139303483,0.161886567164179,0.145561571567402,0.0788458512656763,0.206212226387154,0.127366375121477,2.19741493863777,8.21200071482441,0.934336135009011,0.887980386642502,0.829672162419362,0.700324248063986,0.51556640625,0.38759765625,0.99052734375,0.6029296875,9.57142857142857,0.47373046875,0.38759765625,-0.289811165675007,0.216010242372047
"Mimus_99","Mimus",2.4619,1.4985,0.0875324560000053,1.94244718045181,0.20440811782732,1.87697857142857,1.81963333333333,2.04901428571429,0.229380952380952,0.0471306471306471,0.0201988487702773,0.0673294959009245,0.0471306471306471,2.29569165386641,8.07416332448272,0.897950795154207,0.952785889139037,0.855554846764106,0.627910973653822,1.92568359375,1.76572265625,2.28251953125,0.516796875,3.5,2.28251953125,1.85185546875,-4.92005002692915,1.8589766855315
"Mimus_113","Mimus",3.3539,1.7483,0.0793899019999991,2.63657265395605,0.227254366498861,2.63327637795276,2.57006377952756,2.72177401574803,0.151710236220473,0.0433024118738404,0.0216512059369202,0.0577365491651206,0.0360853432282004,2.45816727108328,8.1149723309933,0.819611182745806,0.9414053914526,0.771586386331744,0.395830463830409,2.562451171875,2.28251953125,2.71318359375,0.4306640625,2.6,2.28251953125,2.54091796875,3.25480232360034,2.63722394808071
"Zenaida_114","Zenaida",0.892,0.3211,0.099746286999995,0.600635338548413,0.114030051751269,0.626939285714286,0.545382142857143,0.647328571428571,0.101946428571429,0.0532003023431595,0.0332501889644747,0.0731504157218443,0.0399002267573696,3.70627252989536,17.1888454840781,0.855445873419143,0.957306960476463,0.818924288935013,0.588650262257744,0.6136962890625,0.38759765625,0.64599609375,0.2583984375,2,0.64599609375,0.47373046875,-1.72703796984452,0.648369832677165
"Pheucticus_115","Pheucticus",5.7087,3.3896,0.244276622999998,4.56566625702959,0.617852419030327,4.65568109540636,4.04517597173145,5.09819487632509,1.05301890459364,0.0977052154195011,0.0366394557823129,0.158770975056689,0.122131519274376,1.59084177731345,6.72155916213499,0.962218040974914,0.903411202149102,0.869278557126701,0.754750872160665,4.79507669588415,3.57451171875,5.64169921875,2.0671875,4.16666666666666,4.60810546875,5.46943359375,3.5260358294703,4.71254998154528
"Mimus_120","Mimus",2.7473,1.3558,0.0631047939999974,2.14199884629057,0.241467310298236,2.18750114942529,1.97957586206897,2.31545517241379,0.335879310344828,0.0394416099773243,0.0315532879818594,0.0473299319727891,0.0157766439909297,1.12529859980818,3.09771373593423,0.883935114578952,0.865477280439034,0.765025759050358,0.498397504258304,2.11982421875,1.85185546875,2.54091796875,0.6890625,3.75,1.85185546875,1.85185546875,0,2.29133627583661
"Mimus_135","Mimus",2.9971,1.5699,0.0549622400000001,2.33556740593478,0.270659318697697,2.32009487179487,2.15541794871795,2.55796153846154,0.40254358974359,0.0392452218982831,0.0235471331389699,0.0470942662779398,0.0235471331389699,1.12708947971513,3.26581119017152,0.905889441962891,0.874584801467117,0.792277137750272,0.590507792561841,2.2502197265625,1.59345703125,2.62705078125,1.03359375,1.16666666666667,1.59345703125,2.45478515625,15.6712704030985,2.29133627583661
"Pheucticus_136","Pheucticus",3.4966,2.8544,0.132316504000002,3.25866012671162,0.100192498929991,3.24430714285714,3.22137142857143,3.32075952380952,0.0993880952380951,0.0860034013605442,0.066156462585034,0.099234693877551,0.033078231292517,2.68410737216677,10.465241418775,0.832139005600136,0.936708788688333,0.779471919956017,0.407633065428284,3.33662109375,3.22998046875,3.48837890625,0.2583984375,3.66666666666667,3.31611328125,3.22998046875,-0.650960461440233,3.3289992925689
"Mimus_141","Mimus",2.89,1.6056,0.0468196859999992,2.20444333778667,0.265880889275007,2.20498666666667,1.99092,2.41905333333333,0.428133333333333,0.0234013605442177,0.0156009070294785,0.0312018140589569,0.0156009070294785,1.13875525875188,3.47809422020997,0.906708117741811,0.850719724390717,0.771354480028139,0.618786274250622,2.11025390625,1.93798828125,2.36865234375,0.4306640625,4,2.02412109375,2.19638671875,3.67934174099337,2.03192052165354
"Mimus_147","Mimus",2.783,1.4629,0.059033516999996,2.18745969067397,0.235262089585135,2.21724285714286,2.01151298701299,2.3543961038961,0.342883116883117,0.0221343537414966,0.0073781179138322,0.036890589569161,0.0295124716553288,1.1898970541352,3.38469022452702,0.881526059181106,0.897469006218087,0.791142316288614,0.50393394125189,2.17724609375,1.93798828125,2.36865234375,0.4306640625,4.6,2.28251953125,2.19638671875,-1.45904931430743,2.29133627583661
